ground,matches,total_runs,total_wickets,balls,rpo,country
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",36,11196,426,8578,7.83,India
Sydney Showground Stadium,36,9642,438,7824,7.39,Australia
Bayer Uerdingen Cricket Ground,35,9150,504,7859,6.99,Germany
"Eden Park Outer Oval, Auckland",34,10890,427,7835,8.34,New Zealand
Integrated Polytechnic Regional Centre,34,7067,413,6559,6.46,Rwanda
"Burgher Recreation Club Ground, Colombo",32,7638,441,6805,6.73,Sri Lanka
"New Wanderers Stadium, Johannesburg",32,10262,381,7377,8.35,South Africa
"Old Hararians, Harare",32,10355,394,7622,8.15,Zimbabwe
"Manuka Oval, Canberra",32,9493,372,7092,8.03,Australia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),31,8136,387,6716,7.27,Oman
"Mangaung Oval, Bloemfontein",31,8086,355,6959,6.97,South Africa
"Bay Oval, Mount Maunganui",31,8893,370,6610,8.07,New Zealand
Kerava National Cricket Ground,31,7703,397,6881,6.72,Finland
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",31,9909,385,7239,8.21,West Indies
"Gymkhana Club Ground, Nairobi",30,6967,411,6608,6.33,Kenya
"Queens Sports Club, Bulawayo",30,8624,372,7114,7.27,Zimbabwe
"Seddon Park, Hamilton",30,9551,390,6955,8.24,New Zealand
"Mission Road Ground, Mong Kok, Hong Kong",29,8183,395,6390,7.68,Hong Kong
"Zahur Ahmed Chowdhury Stadium, Chittagong",29,8840,364,6963,7.62,Bangladesh
"Saurashtra Cricket Association Stadium, Rajkot",29,8764,329,6606,7.96,India
"Bready Cricket Club, Magheramason, Bready",29,8168,368,6444,7.61,Ireland
"Buffalo Park, East London",29,7622,297,5748,7.96,South Africa
"Sabina Park, Kingston, Jamaica",28,9259,354,6684,8.31,West Indies
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",28,8567,367,6448,7.97,Scotland
"King George V Sports Ground, Castel",28,7067,343,6177,6.86,Guernsey
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",28,8472,349,6289,8.08,Sri Lanka
"Desert Springs Cricket Ground, Almeria",28,6555,355,6598,5.96,Spain
"Wanderers Cricket Ground, Windhoek",27,7404,325,6136,7.24,Namibia
Gahanga International Cricket Stadium. Rwanda,27,6595,357,5938,6.66,Rwanda
"Civil Service Cricket Club, Stormont, Belfast",26,6646,340,5602,7.12,Ireland
"Sir Vivian Richards Stadium, North Sound, Antigua",26,7018,321,5686,7.41,West Indies
"Bloomfield Cricket and Athletic Club Ground, Colombo",26,6799,366,5436,7.5,Sri Lanka
"Nigeria Cricket Federation Oval 1, Abuja",26,6275,355,5881,6.4,Nigeria
"Arun Jaitley Stadium, Delhi",26,9891,310,6413,9.25,India
"Eden Park, Auckland",25,7898,320,5333,8.89,New Zealand
Entebbe Cricket Oval,25,5962,336,5687,6.29,Uganda
"The Wanderers Stadium, Johannesburg",25,7804,318,5635,8.31,South Africa
"University Oval, Dunedin",25,8105,262,5543,8.77,New Zealand
Tikkurila Cricket Ground,24,5519,366,5502,6.02,Finland
"The Village, Malahide, Dublin",24,7175,303,5519,7.8,Ireland
Sano International Cricket Ground,23,4907,330,4889,6.02,Japan
"UKM-YSD Cricket Oval, Bangi",23,5673,295,4887,6.97,Malaysia
Rangiri Dambulla International Stadium,22,7445,298,5289,8.45,Sri Lanka
"Scott Page Field, Vinor",21,5890,248,4764,7.42,Czech Republic
"Iqbal Stadium, Faisalabad",20,6089,263,4771,7.66,Pakistan
"Tafawa Balewa Square Cricket Oval, Lagos",20,3723,298,4367,5.12,Nigeria
"Dr DY Patil Sports Academy, Mumbai",20,6573,254,4905,8.04,India
Carrara Oval,20,5900,271,4485,7.89,Australia
"County Ground, Taunton",20,7046,240,4806,8.8,England
"Indian Association Ground, Singapore",19,5606,250,4312,7.8,Singapore
"Brabourne Stadium, Mumbai",19,6607,239,4568,8.68,India
"GB Oval, Szodliget",19,5462,239,4297,7.63,Hungary
"United Cricket Club Ground, Windhoek",19,4947,211,4349,6.83,Namibia
"McLean Park, Napier",19,6203,252,4434,8.39,New Zealand
"Recreation Ground, Oudtshoorn",18,4607,226,3878,7.13,South Africa
"National Sports Academy, Sofia",18,5237,210,3902,8.05,Bulgaria
"St George's Park, Gqeberha",18,5136,247,4124,7.47,South Africa
"Kinrara Academy Oval, Kuala Lumpur",18,4990,229,4114,7.28,Malaysia
"Maple Leaf North-West Ground, King City",18,4157,218,3622,6.89,Canada
"Western Australia Cricket Association Ground, Perth",18,5303,200,4250,7.49,Australia
"Army Ground, Panagoda",18,3855,203,3358,6.89,Sri Lanka
"Amini Park, Port Moresby",18,3974,220,3768,6.33,Papua New Guinea
"Bangladesh Krira Shikkha Protisthan No 3 Ground, Savar",18,4467,188,3622,7.4,Bangladesh
"Bangladesh Krira Shikkha Protisthan No 4 Ground, Savar",18,3769,179,3319,6.81,Bangladesh
"Mardyke, Cork",17,4721,220,3426,8.27,Ireland
"TCA Oval, Blantyre",17,4662,214,3880,7.21,Malawi
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",17,5219,213,3972,7.88,India
