bat,total_runs,total_balls,innings,dismissals,average,strike_rate,not_outs
Devon Smith,901,1248,38,38,23.71,72.2,0
Mitchell Santner,898,1021,54,54,16.63,87.95,0
James Taylor,887,1107,26,26,34.12,80.13,0
Tim Bresnan,871,965,63,63,13.83,90.26,0
Kyle Mills,871,987,77,77,11.31,88.25,0
Thomas Odoyo,863,1235,41,41,21.05,69.88,0
Alex Carey,859,929,28,28,30.68,92.47,0
Adam Voges,858,993,28,28,30.64,86.4,0
Thilina Kandamby,847,1201,32,32,26.47,70.52,0
Habibul Bashar,846,1393,38,38,22.26,60.73,0
Colin Ingram,843,1024,29,29,29.07,82.32,0
Peter Moor,827,1225,43,43,19.23,67.51,0
Phillip Hughes,826,1100,24,24,34.42,75.09,0
Peter Borren,822,967,39,39,21.08,85.01,0
Harbhajan Singh,821,1040,78,78,10.53,78.94,0
Dhananjaya de Silva,814,1073,39,39,20.87,75.86,0
Sharjeel Khan,812,716,25,25,32.48,113.41,0
Yusuf Pathan,810,714,41,41,19.76,113.45,0
Brett Lee,795,943,66,66,12.05,84.31,0
Anshy Rath,783,1015,18,18,43.5,77.14,0
Babar Hayat,779,1003,22,22,35.41,77.67,0
Litton Das,768,871,33,33,23.27,88.17,0
Neil McCallum,755,1123,31,31,24.35,67.23,0
Albie Morkel,743,721,40,40,18.58,103.05,0
Wahab Riaz,740,849,66,66,11.21,87.16,0
Charles Coventry,738,830,29,29,25.45,88.92,0
Matt Machan,735,958,22,22,33.41,76.72,0
Sohaib Maqsood,735,881,25,25,29.4,83.43,0
Graeme Cremer,735,1191,67,67,10.97,61.71,0
Assad Vala,731,1077,27,27,27.07,67.87,0
Mohammad Rizwan,730,847,31,31,23.55,86.19,0
Nicholas Pooran,728,661,17,17,42.82,110.14,0
Abdur Razzak,725,953,86,86,8.43,76.08,0
Alex Cusack,715,1096,44,44,16.25,65.24,0
Luke Wright,707,820,39,39,18.13,86.22,0
Fraser Watts,700,1126,24,24,29.17,62.17,0
Tony Ura,697,876,26,26,26.81,79.57,0
Andrew White,696,1078,41,41,16.98,64.56,0
Gavin Hamilton,695,1128,22,22,31.59,61.61,0
Thilan Samaraweera,689,925,31,31,22.23,74.49,0
Rameez Shahzad,688,814,15,15,45.87,84.52,0
Narsingh Deonarine,682,990,29,29,23.52,68.89,0
Trent Johnston,677,732,48,48,14.1,92.49,0
Tim Southee,676,686,84,84,8.05,98.54,0
Sunil Dhaniram,675,773,27,27,25.0,87.32,0
Ravichandran Ashwin,675,776,59,59,11.44,86.98,0
Rovman Powell,670,806,31,31,21.61,83.13,0
Nizakat Khan,670,810,20,20,33.5,82.72,0
Bas Zuiderent,669,1113,29,29,23.07,60.11,0
Rizwan Cheema,667,613,31,31,21.52,108.81,0
Callum Ferguson,664,778,25,25,26.56,85.35,0
Rassie van der Dussen,664,811,14,14,47.43,81.87,0
Jimmy Kamande,662,1002,41,41,16.15,66.07,0
Rohan Mustafa,661,979,33,33,20.03,67.52,0
Muhammad Usman,659,866,29,29,22.72,76.1,0
David Obuya,648,994,34,34,19.06,65.19,0
Liam Plunkett,646,630,50,50,12.92,102.54,0
Aiden Markram,643,755,24,24,26.79,85.17,0
Jeevan Mendis,636,769,44,44,14.45,82.7,0
Colin de Grandhomme,633,590,29,29,21.83,107.29,0
Peter Handscomb,632,649,20,20,31.6,97.38,0
Tanmay Mishra,623,864,22,22,28.32,72.11,0
Hamish Marshall,621,870,34,34,18.26,71.38,0
Johan Botha,609,710,50,50,12.18,85.77,0
Parthiv Patel,604,736,24,24,25.17,82.07,0
Regis Chakabva,599,1018,35,35,17.11,58.84,0
Rakep Patel,599,937,32,32,18.72,63.93,0
Alexei Kervezee,597,794,25,25,23.88,75.19,0
Rob Nicol,597,787,21,21,28.43,75.86,0
Geraint Jones,595,841,31,31,19.19,70.75,0
Adil Rashid,588,574,41,41,14.34,102.44,0
Dimuth Karunaratne,586,802,24,24,24.42,73.07,0
Richmond Mutumbami,582,814,31,31,18.77,71.5,0
Jonathan Carter,581,822,28,28,20.75,70.68,0
Andre Botha,578,894,30,30,19.27,64.65,0
Jehan Mubarak,576,884,29,29,19.86,65.16,0
Asela Gunaratne,575,724,25,25,23.0,79.42,0
George Dockrell,575,834,55,55,10.45,68.94,0
Brad Hodge,575,657,21,21,27.38,87.52,0
BJ Watling,573,839,24,24,23.88,68.3,0
Ryan Watson,573,772,23,23,24.91,74.22,0
George Munsey,563,731,25,25,22.52,77.02,0
Carlos Brathwaite,559,614,37,37,15.11,91.04,0
Lasith Malinga,558,746,111,111,5.03,74.8,0
Mominul Haque,557,749,25,25,22.28,74.37,0
Khurram Khan,555,680,14,14,39.64,81.62,0
Jason Mohammed,551,795,24,24,22.96,69.31,0
Mosaddek Hossain,549,633,30,30,18.3,86.73,0
Andile Phehlukwayo,549,610,31,31,17.71,90.0,0
Michael Vaughan,543,839,24,24,22.62,64.72,0
Shreyas Iyer,534,513,13,13,41.08,104.09,0
Wavell Hinds,530,876,27,27,19.63,60.5,0
Stuart Broad,529,709,66,65,8.14,74.61,1
Bhuvneshwar Kumar,526,703,50,50,10.52,74.82,0
Xavier Marshall,526,805,33,33,15.94,65.34,0
Milinda Siriwardana,516,525,24,24,21.5,98.29,0
Dawlat Zadran,511,660,53,53,9.64,77.42,0
Wayne Parnell,508,648,37,37,13.73,78.4,0
Josh Davey,505,744,28,28,18.04,67.88,0
Alviro Petersen,504,610,19,19,26.53,82.62,0
Khaled Mashud,503,871,26,26,19.35,57.75,0
Ashley Nurse,502,513,38,38,13.21,97.86,0
Amjad Ali,500,665,17,17,29.41,75.19,0
Graeme Swann,500,553,48,48,10.42,90.42,0
Ghulam Shabber,499,798,23,23,21.7,62.53,0
Javed Omar,493,940,21,21,23.48,52.45,0
Mohammad Mithun,493,659,21,21,23.48,74.81,0
Jamie Dalrymple,487,672,26,26,18.73,72.47,0
Ryan McLaren,485,680,41,41,11.83,71.32,0
David Hemp,484,696,14,14,34.57,69.54,0
Samit Patel,482,517,22,22,21.91,93.23,0
Craig Wallace,482,525,24,24,20.08,91.81,0
Lega Siaka,479,628,25,25,19.16,76.27,0
Karim Sadiq,472,587,21,21,22.48,80.41,0
Naved-ul-Hasan,471,553,42,42,11.21,85.17,0
Robin Peterson,465,548,31,31,15.0,84.85,0
Hiral Patel,457,568,23,23,19.87,80.46,0
Zaheer Khan,456,654,51,51,8.94,69.72,0
Reeza Hendricks,455,591,18,18,25.28,76.99,0
Umar Gul,455,624,62,62,7.34,72.92,0
Mahuru Dai,452,577,17,17,26.59,78.34,0
Keith Dabengwa,447,727,30,30,14.9,61.49,0
Ruvindu Gunasekera,440,650,18,18,24.44,67.69,0
Chaminda Vaas,439,622,52,52,8.44,70.58,0
Roston Chase,438,575,18,18,24.33,76.17,0
Jimmy Hansra,423,721,22,22,19.23,58.67,0
Seren Waters,421,750,20,20,21.05,56.13,0
Ashan Priyanjan,420,522,20,20,21.0,80.46,0
Carlton Baugh,415,595,28,28,14.82,69.75,0
Farhad Reza,412,637,29,29,14.21,64.68,0
Morne van Wyk,408,597,15,15,27.2,68.34,0
Nehemiah Odhiambo,407,577,41,41,9.93,70.54,0
Usman Ghani,405,521,15,15,27.0,77.74,0
Forster Mutizwa,402,502,15,15,26.8,80.08,0
Mirwais Ashraf,399,548,36,36,11.08,72.81,0
Irfan Karim,399,526,9,9,44.33,75.86,0
Adrian Barath,394,612,14,14,28.14,64.38,0
Sese Bau,378,601,21,21,18.0,62.9,0
Vikram Solanki,375,538,16,16,23.44,69.7,0
Sewnarine Chattergoon,371,616,17,17,21.82,60.23,0
Peter Forrest,368,561,14,14,26.29,65.6,0
Mohammad Rafique,366,540,35,35,10.46,67.78,0
Alok Kapali,365,511,22,22,16.59,71.43,0
Dale Steyn,365,562,51,51,7.16,64.95,0
Yasir Hameed,357,582,12,12,29.75,61.34,0
Andre Fletcher,354,549,25,25,14.16,64.48,0
Nasir Jamal,352,537,14,14,25.14,65.55,0
Aaron Jones,348,521,9,9,38.67,66.79,0
Murali Vijay,339,506,16,16,21.19,67.0,0
Majid Haq,334,626,32,32,10.44,53.35,0
Saeed Ajmal,324,536,67,67,4.84,60.45,0
Abdool Samad,318,516,16,16,19.88,61.63,0
Rajin Saleh,312,596,15,15,20.8,52.35,0
Ray Price,311,533,44,44,7.07,58.35,0
Chirag Suri,309,542,14,14,22.07,57.01,0
Kemar Roach,308,576,50,50,6.16,53.47,0
Zubin Surkari,301,602,20,20,15.05,50.0,0
Terry Duffin,296,591,12,12,24.67,50.08,0
Tom de Grooth,258,531,25,25,10.32,48.59,0
Mehrab Hossain jnr,239,543,12,12,19.92,44.01,0
