team,matches,wins,win_pct
South Africa,301,189,62.8
Australia,368,228,62.0
India,406,242,59.6
England,336,171,50.9
New Zealand,296,149,50.3
Pakistan,327,164,50.2
Afghanistan,125,59,47.2
Sri Lanka,387,179,46.3
Netherlands,52,23,44.2
Ireland,143,63,44.1
Bangladesh,260,108,41.5
Hong Kong,24,9,37.5
Scotland,97,36,37.1
West Indies,308,109,35.4
United Arab Emirates,47,14,29.8
Zimbabwe,243,64,26.3
Papua New Guinea,27,7,25.9
Kenya,66,17,25.8
Canada,52,13,25.0
