bowl,wickets,runs,balls,econ,avg
Dewald Botha,0,35,25,8.4,
Dewald Brevis,22,357,291,7.36,16.23
Dewald Dumon,0,16,18,5.33,
Dhammika Prasad,7,157,118,7.98,22.43
Dhananjay Rao,8,155,147,6.33,19.38
Dhananjaya Lakshan,49,889,676,7.89,18.14
Dhananjaya Panda,11,83,88,5.66,7.55
Dhananjaya de Silva,55,1244,1081,6.9,22.62
Dhanesh Shetty,20,367,356,6.19,18.35
Dhanuja Induwara,0,12,8,9.0,
Dhanush Ganesh,14,192,207,5.57,13.71
Dhanushka Dharmasiri,11,158,115,8.24,14.36
Dhanushka Ranasinghe,16,264,254,6.24,16.5
Dharani Rabha,0,41,24,10.25,
Dharmendrasinh Jadeja,5,289,234,7.41,57.8
