bowl,wickets,runs,balls,econ,avg
Dominic Wesonga,0,15,12,7.5,
Domnic Muthuswami,7,143,108,7.94,20.43
Don Radebe,8,273,170,9.64,34.12
Donald Tiripano,59,1317,1005,7.86,22.32
Donavon Ferreira,7,169,140,7.24,24.14
Donnex Kansonkho,5,149,116,7.71,29.8
Donovan Ferreira,12,427,343,7.47,35.58
Donovan Grobbelaar,10,330,248,7.98,33.0
Doug Bollinger,19,570,411,8.32,30.0
Doug Bracewell,50,1214,882,8.26,24.28
Doug Warren,2,81,56,8.68,40.5
Douglas Finau,6,155,100,9.3,25.83
Doyle-Calle,4,29,38,4.58,7.25
Driaan Bruwer,0,23,18,7.67,
Duan Jansen,29,848,671,7.58,29.24
Duanne Olivier,57,1290,928,8.34,22.63
Dulaj Ashen,2,18,15,7.2,9.0
Dulaj Samuditha,4,70,57,7.37,17.5
Dulanjana Mendis,29,493,447,6.62,17.0
Dulnith Sigera,1,1,2,3.0,1.0
Dumon Dewald,9,174,160,6.52,19.33
Dunil Abeydeera,7,83,126,3.95,11.86
Dunith Wellalage,77,1576,1373,6.89,20.47
Dushan Hemantha,89,1339,1227,6.55,15.04
Dushan Vimukthi,34,558,559,5.99,16.41
Dushmantha Chameera,174,4365,3391,7.72,25.09
Dustin Melton,4,124,84,8.86,31.0
Duvindu Ranatunga,2,73,55,7.96,36.5
Duvindu Tillakaratne,30,344,342,6.04,11.47
Duvvarapu Siva Kumar,0,11,12,5.5,
Dwaine Pretorius,219,5026,3776,7.99,22.95
Dwayne Bravo,465,9938,7530,7.92,21.37
Dwayne Smith,22,784,537,8.76,35.64
Dwight Weakley,13,258,238,6.5,19.85
Dwight Wheatley,0,34,15,13.6,
Dylan Bester,1,21,25,5.04,21.0
Dylan Blignaut,22,327,284,6.91,14.86
Dylan Budge,1,14,8,10.5,14.0
Dylan Hondo,17,384,358,6.44,22.59
Dylan Leicher,11,214,160,8.02,19.45
Dylan Lues,5,73,56,7.82,14.6
Dylan Stanley,0,49,45,6.53,
Dyllan Matthews,15,231,206,6.73,15.4
Eathan Bosch,67,1629,1323,7.39,24.31
Ebadot Hossain,65,1794,1391,7.74,27.6
Ebrahim Naseri,1,28,20,8.4,28.0
Ed Barnard,69,2630,1788,8.83,38.12
Ed Barnes,2,159,80,11.92,79.5
Ed Middleton,2,10,12,5.0,5.0
Ed Nuttall,45,1467,1031,8.54,32.6
Eddie Jack,7,212,130,9.78,30.29
Eddie Leie,49,1415,1081,7.85,28.88
Eddie Richardson,17,256,199,7.72,15.06
Eden Links,3,153,109,8.42,51.0
Edmond Ernest,4,90,116,4.66,22.5
Edmund Packard,6,194,161,7.23,32.33
Edson Silva,7,175,147,7.14,25.0
Edward Beard,0,19,18,6.33,
Edward Moore,1,47,43,6.56,47.0
Edward Walker,1,55,33,10.0,55.0
Ehsan Adil,49,1238,864,8.6,25.27
Ehsan Khan,144,2264,2205,6.16,15.72
Ehsan Nawaz,7,101,80,7.57,14.43
Ehtsham Ul Haq,0,4,1,24.0,
Eitamar Kahamker,0,46,28,9.86,
Ekhpelwak Kuchey,0,96,67,8.6,
Elam Bharathi,49,653,757,5.18,13.33
Elan Talker,7,172,149,6.93,24.57
Eldhose Mathew,21,426,338,7.56,20.29
Eldred Hawken,17,584,437,8.02,34.35
Elias Hasan,2,189,118,9.61,94.5
Elias Sunny,16,412,332,7.45,25.75
Elias Tilman,4,175,133,7.89,43.75
Eliezar Samson,3,66,52,7.62,22.0
Elijah Otieno,25,687,586,7.03,27.48
Elika Faalupega,2,24,24,6.0,12.0
Eliyas Jabarkhel,7,248,202,7.37,35.43
Elliot Hooper,4,47,51,5.53,11.75
Elliot Miles,33,500,490,6.12,15.15
Elmore Hutchinson,2,30,45,4.0,15.0
Elochukwu Ndubudem,8,123,145,5.09,15.38
Elton Chigumbura,2,63,30,12.6,31.5
Emerson Ndzeute,4,79,61,7.77,19.75
Emile Rukiriza,70,1332,1246,6.41,19.03
Emilio Gay,0,5,2,15.0,
Emi̇n Kuyumcu,0,36,22,9.82,
Emmanuel Bundi,24,608,508,7.18,25.33
Emmanuel Isaneez,3,53,58,5.48,17.67
Emmanuel Sebareme,68,1144,1144,6.0,16.82
Emran Shahbakhsh,0,14,6,14.0,
Enamul Haque jnr,18,452,428,6.34,25.11
Enkhbat Batkhuyag,1,38,25,9.12,38.0
Enoch Frimpong,4,31,60,3.1,7.75
Eranga Rathnayake,19,400,316,7.59,21.05
Eric Kubwimana,32,666,473,8.45,20.81
Eric Niyomugabo,11,226,188,7.21,20.55
Erinn Ewerts,1,40,39,6.15,40.0
Ernest Kemm,2,138,119,6.96,69.0
Ernest Masuku,32,842,628,8.04,26.31
Esam Rahman,0,93,56,9.96,
Eshan Karimi,15,217,209,6.23,14.47
Eshan Malinga,53,1012,765,7.94,19.09
Esteban Nino,0,21,14,9.0,
Ethan Bamber,4,167,104,9.63,41.75
Ethan Brookes,18,480,347,8.3,26.67
Ethan D'Souza,5,53,48,6.62,10.6
Ethan Frosler,0,18,12,9.0,
Ethan-John Cunningham,0,20,12,10.0,
Ethy Mbhalati,5,103,99,6.24,20.6
Etienne Beukes,4,120,93,7.74,30.0
Eugene Ochieng,7,157,126,7.48,22.43
Evan Gulbis,10,354,289,7.35,35.4
Evan Jones,28,661,482,8.23,23.61
Fabian Allen,102,2770,2117,7.85,27.16
Fabian Cowdrey,18,433,320,8.12,24.06
Fabid Ahmed,3,89,74,7.22,29.67
Fahad Tariq,0,26,18,8.67,
Faheem Ashraf,249,5799,4362,7.98,23.29
Faheem Nazir,18,305,258,7.09,16.94
Fahim Bahrami,1,63,40,9.45,63.0
Fahim Bhatti,5,214,168,7.64,42.8
Faisal Akram,4,207,160,7.76,51.75
Faisal Khaliq,10,143,148,5.8,14.3
Faisal Khan,4,169,100,10.14,42.25
Faisal Mubashir,1,29,25,6.96,29.0
Faizal Salehji,0,22,21,6.29,
Faizan Patel,4,120,109,6.61,30.0
Fakhar Zaman,5,124,128,5.81,24.8
Fakhrul Mohon,4,165,149,6.64,41.25
Fanyan Mughal,24,581,499,6.99,24.21
Faran Afzal,4,46,74,3.73,11.5
Faraz Ahmed,20,361,263,8.24,18.05
Faraz Akram,8,551,403,8.2,68.88
Fareed Ahmad,106,2632,1985,7.96,24.83
Farhaan Behardien,5,131,94,8.36,26.2
Farhad Momand,5,65,46,8.48,13.0
Farhad Reza,94,2185,1602,8.18,23.24
Farhan Ahmed,11,256,191,8.04,23.27
Farhan Khan,4,150,102,8.82,37.5
Faridoon,4,33,49,4.04,8.25
Faridoon Dawoodzai,31,540,462,7.01,17.42
Farmanullah,25,878,660,7.98,35.12
Farveez Maharoof,11,264,258,6.14,24.0
Faseeh Choudary,1,31,18,10.33,31.0
Fateh Singh,12,316,249,7.61,26.33
Faustin Mpegna,0,37,13,17.08,
Fawad Ahmed,173,3933,3437,6.87,22.73
Fawad Alam,2,41,26,9.46,20.5
Fawad Ali,2,107,78,8.23,53.5
Fawad Khan,8,198,119,9.98,24.75
Fayaz Khan,21,350,300,7.0,16.67
Fayaz Mohammad,0,18,9,12.0,
Fayyaz Ahmed,1,29,18,9.67,29.0
Fayyaz Butt,59,1211,1012,7.18,20.53
Fayyaz Khan,2,34,26,7.85,17.0
Fazal Niazai,10,367,232,9.49,36.7
Fazalhaq Farooqi,193,3794,3187,7.14,19.66
Fazil Muhammad,5,100,87,6.9,20.0
Fazil Rahman,15,158,137,6.92,10.53
Fazle Mahmud,0,40,25,9.6,
Felipe Muniz,3,80,73,6.58,26.67
Felix Alemao,2,125,76,9.87,62.5
Felix Murray,1,50,43,6.98,50.0
Felix Organ,3,75,68,6.62,25.0
Fenito Mehl,0,34,24,8.5,
Ferdinando Banunaek,76,1413,1284,6.6,18.59
Fereti Suluoto,0,16,6,16.0,
Fergus Lellman,2,29,27,6.44,14.5
Fergus O'Neill,9,268,203,7.92,29.78
Ferisco Adams,71,1688,1315,7.7,23.77
Festus Benn,23,352,329,6.42,15.3
Fidel Edwards,50,1408,1055,8.01,28.16
Filipe Cossa,19,401,352,6.84,21.11
Finn Allen,0,8,6,8.0,
Fionn Hand,51,1255,899,8.38,24.61
Firas Hussain,5,105,76,8.29,21.0
Fitratullah Khawari,12,316,241,7.87,26.33
Fitri Sham,49,911,825,6.63,18.59
Fortune Mhlanga,5,126,90,8.4,25.2
Francis Mutua,23,318,273,6.99,13.83
Francis Walsh,5,85,50,10.2,17.0
Francisco Couana,19,409,373,6.58,21.53
Francois Zirahangaje,1,54,41,7.9,54.0
Francoise Stoman,20,386,380,6.09,19.3
Frank Akankwasa,15,271,269,6.04,18.07
Frank Nsubuga,73,1034,1284,4.83,14.16
Franz Bur,2,16,13,7.38,8.0
Fraser Clarke,3,86,85,6.07,28.67
Fraser Sheat,2,67,48,8.38,33.5
Fred Klaassen,145,3319,2497,7.98,22.89
Freddie Heldreich,51,1105,740,8.96,21.67
Freddie McCann,0,4,6,4.0,
Freddie van den Bergh,0,67,36,11.17,
Frederick Chester,2,51,33,9.27,25.5
Frederick Walker,19,573,464,7.41,30.16
Fynn Hudson-Prentice,42,1176,738,9.56,28.0
G Lalbiakvela,2,86,61,8.46,43.0
Gabor Torok,0,9,6,9.0,
Gabriel Oliveira,3,160,121,7.93,53.33
Gagandeep Singh,7,419,325,7.74,59.86
Gakul Ghalley,0,13,9,8.67,
Gamindu Kanishka,2,41,30,8.2,20.5
Ganesan Kuthalingham,1,33,39,5.08,33.0
Ganeshan Periyaswamy,2,17,13,7.85,8.5
Gareth Andrew,9,178,132,8.09,19.78
Gareth Batty,71,1863,1543,7.24,26.24
Gareth Berg,52,1284,983,7.84,24.69
Gareth Delany,87,2066,1659,7.47,23.75
Gareth Dukes,14,388,341,6.83,27.71
Gareth Harte,1,20,18,6.67,20.0
Gareth Johnson,2,84,78,6.46,42.0
Gareth Wade,0,9,3,18.0,
Garey Mathurin,6,234,195,7.2,39.0
Garret Banner,11,284,246,6.93,25.82
Garuka Sanketh,14,418,279,8.99,29.86
Garvin Bruno,2,40,27,8.89,20.0
Gary Kidd,7,108,93,6.97,15.43
Gary King,2,44,34,7.76,22.0
Gary Putland,1,53,51,6.24,53.0
Gaudi Toka,1,20,18,6.67,20.0
Gaurav Chaudhary,2,74,54,8.22,37.0
Gaurav Mishra,6,242,216,6.72,40.33
Gaurav Tiwari,16,364,346,6.31,22.75
Gaurav Yadav,2,44,36,7.33,22.0
Gavin Griffiths,56,1454,1011,8.63,25.96
Gavin Hoey,42,899,684,7.89,21.4
Gavin Main,21,339,263,7.73,16.14
Gavin Singh,7,105,135,4.67,15.0
Gayan Bandara,8,120,169,4.26,15.0
Gayan Maneeshan,2,1,6,1.0,0.5
Gayan Munaweera,23,526,396,7.97,22.87
Gayan Sirisoma,29,529,469,6.77,18.24
Gayan de Silva,1,36,26,8.31,36.0
Gayana Weerasinghe,4,100,54,11.11,25.0
Gayantha Wijethilake,1,50,38,7.89,50.0
Gayashan Munasinghe,10,157,143,6.59,15.7
Gede Arta,23,418,436,5.75,18.17
Gede Priandana,18,393,334,7.06,21.83
Geeth Kumara,16,264,267,5.93,16.5
Geeth Silva,2,50,40,7.5,25.0
George Axtell,1,42,44,5.73,42.0
George Balderson,6,94,60,9.4,15.67
George Banda,0,30,24,7.5,
George Burrows,2,23,18,7.67,11.5
George Dockrell,104,2288,1876,7.32,22.0
George Drissell,2,95,55,10.36,47.5
George Edwards,30,497,354,8.42,16.57
George Garrett,1,39,25,9.36,39.0
George Garton,94,2443,1727,8.49,25.99
George Hill,6,214,139,9.24,35.67
George Linde,149,4247,3431,7.43,28.5
George Ngegba,30,396,456,5.21,13.2
George O'Brien,8,191,175,6.55,23.88
George Rhodes,11,164,117,8.41,14.91
George Richardson,1,41,28,8.79,41.0
George Scott,3,124,75,9.92,41.33
George Scrimshaw,97,2049,1437,8.56,21.12
George Sesay,42,486,567,5.14,11.57
George Van Heerden,0,8,6,8.0,
George Worker,8,245,158,9.3,30.62
Georgios Galanis,14,219,231,5.69,15.64
Gerald Coetzee,95,2145,1555,8.28,22.58
Gerald Mubiru,4,48,54,5.33,12.0
Gerald Ngwenyama,2,115,91,7.58,57.5
Gerard Muthui,1,17,38,2.68,17.0
Gerard Mwendwa,27,506,453,6.7,18.74
Gerasimos Fatouros,5,75,66,6.82,15.0
Gereldo George,0,85,61,8.36,
Gerhard Erasmus,70,1168,1182,5.93,16.69
Gerhard Janse van Rensburg,2,40,37,6.49,20.0
Gerhardus Fourie,2,78,50,9.36,39.0
Gerrie Snyman,19,430,351,7.35,22.63
Gershom Ntambalika,7,115,101,6.83,16.43
Gert Cloete,1,22,26,5.08,22.0
Ghayour Ahmad,0,35,25,8.4,
Ghulam Abbas Butt,3,111,114,5.84,37.0
Ghulam Ahmadi,54,1102,1059,6.24,20.41
Ghulam Mudassar,18,600,389,9.25,33.33
Giacomo Lamplough,0,12,6,12.0,
Gian-Piero Meade,8,185,186,5.97,23.12
Gideon Peters,14,271,229,7.1,19.36
Gidron Pope,2,32,36,5.33,16.0
Gift Kansonkho,12,155,111,8.38,12.92
Gihan Anjana,4,100,121,4.96,25.0
Gihan De Zoysa,0,27,18,9.0,
Gihan Dilruk,2,83,54,9.22,41.5
Gihan Koralage,0,22,21,6.29,
Gihan Rupasinghe,5,157,119,7.92,31.4
Gimandu Malcom,2,29,18,9.67,14.5
Gino Vries,5,70,88,4.77,14.0
Gionne Koopman,9,275,251,6.57,30.56
Giovani Gokoel,0,41,25,9.84,
Girinath Reddy,0,72,54,8.0,
Girish Venkateswaran,7,237,147,9.67,33.86
Gishan Balasooriya,2,3,4,4.5,1.5
Gladwin Thamae,7,144,96,9.0,20.57
Glen Adams,3,138,92,9.0,46.0
Glenford Banner,3,54,40,8.1,18.0
Glenn Maxwell,170,4583,3548,7.75,26.96
Glenn Phillips,29,874,627,8.36,30.14
Glenton Stuurman,40,653,597,6.56,16.32
Godfred Bakiweyem,33,688,678,6.09,20.85
Godfrey Stevens,0,16,12,8.0,
Gohar Faiz,0,9,7,7.71,
Gokhan Alta,13,335,226,8.89,25.77
Goncalo Cardos,0,12,6,12.0,
Govinda Poddar,0,76,54,8.44,
Graeme Cremer,49,813,770,6.34,16.59
Graeme McCarter,13,371,322,6.91,28.54
Graeme White,75,2254,1673,8.08,30.05
Graeme van Buuren,43,1288,1048,7.37,29.95
Graham Clark,0,66,26,15.23,
Graham Hume,74,1487,1175,7.59,20.09
Graham Kennedy,20,460,351,7.86,23.0
Graham Napier,34,833,568,8.8,24.5
Graham Onions,3,99,55,10.8,33.0
Graham Wagg,58,1650,1158,8.55,28.45
Grant Edmeades,3,48,36,8.0,16.0
Grant Elliott,64,1418,1101,7.73,22.16
Grant Russ,0,52,20,15.6,
Grant Stewart,87,2192,1557,8.45,25.2
Grant Thomson,17,587,462,7.62,34.53
Greg Cork,3,109,78,8.38,36.33
Greg Smith,1,21,12,10.5,21.0
Greg West,2,85,47,10.85,42.5
Gregory Irvin,0,63,42,9.0,
Gregory Mahlokwana,23,698,598,7.0,30.35
Gregory Taylor,12,245,187,7.86,20.42
Gudakesh Motie,119,2514,2064,7.31,21.13
Guido Angeletti,3,57,56,6.11,19.0
Gulam Murtaza,34,724,627,6.93,21.29
Gulbadin Naib,102,2561,1887,8.14,25.11
Gulsan Jha,30,687,596,6.92,22.9
Gurbhupinder Chohan,10,342,234,8.77,34.2
Gurdeep Singh,2,30,30,6.0,15.0
Gurinder Sandhu,61,1610,1184,8.16,26.39
Gurjapneet Singh,6,85,72,7.08,14.17
Gurjit Sandhu,2,58,60,5.8,29.0
Gurkeerat Singh Mann,6,106,94,6.77,17.67
Gurnoor Brar,7,110,79,8.35,15.71
Gurpratap Singh,19,246,239,6.18,12.95
Gurpreet Singh,1,29,34,5.12,29.0
Gurshwin Rabie,1,72,72,6.0,72.0
Gus Atkinson,77,1540,1085,8.52,20.0
Gus Miller,0,12,6,12.0,
Gustav Mckeon,9,166,168,5.93,18.44
Guy Walker,0,47,20,14.1,
Gyanendra Malla,0,4,1,24.0,
Habib Khan,36,595,541,6.6,16.53
Habibur Rahman,4,100,70,8.57,25.0
Habibur Rahman Sohan,0,13,6,13.0,
Haider Ali,46,866,847,6.13,18.83
Haider Butt,9,171,140,7.33,19.0
Haider Kiani,1,26,26,6.0,26.0
Haider Razzaq,2,85,54,9.44,42.5
Hamid Hassan,28,729,626,6.99,26.04
Hamid Mahmood,13,236,265,5.34,18.15
Hamid Safi,1,60,24,15.0,60.0
Hamid Shah,26,264,276,5.74,10.15
Hamid Wardak,11,171,159,6.45,15.55
Hamidul Islam,3,118,101,7.01,39.33
Hamidullah Qadri,1,66,51,7.76,66.0
Hamilton Masakadza,2,8,12,4.0,4.0
Hamish Bennett,59,1398,1075,7.8,23.69
Hamish Kingston,4,134,76,10.58,33.5
Hamish McKenzie,3,138,109,7.6,46.0
Hamish Rutherford,0,27,26,6.23,
Hammad Azam,37,716,578,7.43,19.35
Hammad Shahid,9,133,125,6.38,14.78
Hamza Dar,3,99,78,7.62,33.0
Hamza Khan,0,15,6,15.0,
Hamza Nadeem,1,38,24,9.5,38.0
Hamza Sajjad,6,158,125,7.58,26.33
Hamza Tahir,24,512,377,8.15,21.33
Handre Klazinge,12,103,106,5.83,8.58
Hansa de Silva,9,148,123,7.22,16.44
Hanuma Vihari,0,9,6,9.0,
Haqmal Arya,4,35,48,4.38,8.75
Harbhajan Singh,67,1853,1528,7.28,27.66
Hardeep Khuttan,1,50,34,8.82,50.0
Hardeep Singh,3,116,83,8.39,38.67
Hardik Pandya,192,5219,3805,8.23,27.18
Hardik Patel,4,72,74,5.84,18.0
Hardus Coetzer,5,63,45,8.4,12.6
Hardus Viljoen,155,3632,2741,7.95,23.43
Hareen Buddila,12,180,166,6.51,15.0
Hari Kukreja,1,51,25,12.24,51.0
Hari Nishaanth,0,7,5,8.4,
Hariharan Dandapani,2,63,46,8.22,31.5
Hariprasad Satheedevi,7,192,134,8.6,27.43
Haris Karim,1,53,25,12.72,53.0
Haris Rashid,7,203,159,7.66,29.0
Haris Rauf,347,7110,5229,8.16,20.49
Haris Sohail,7,149,104,8.6,21.29
Harishankar Reddy,8,237,147,9.67,29.62
Harjas Bedi,0,39,19,12.32,
Harmanjot Singh,1,44,25,10.56,44.0
Harmeet Singh,54,1160,1026,6.78,21.48
Haroon,0,19,12,9.5,
Haroon Arshad,33,719,550,7.84,21.79
Haroon Shahid,1,48,31,9.29,48.0
Harpal Virdee,1,26,12,13.0,26.0
Harpreet Brar,57,1607,1276,7.56,28.19
Harprit Singh,0,21,6,21.0,
Harrison Carlyon,26,411,438,5.63,15.81
Harrison Ward,1,16,14,6.86,16.0
Harry Brook,1,26,13,12.0,26.0
Harry Conway,22,713,514,8.32,32.41
Harry Crawshaw,0,46,30,9.2,
Harry Darley,4,98,70,8.4,24.5
Harry Gurney,135,2827,2173,7.81,20.94
Harry Johnson,9,281,207,8.14,31.22
Harry Manenti,35,357,386,5.55,10.2
Harry Podmore,15,500,313,9.58,33.33
Harry Tector,33,706,658,6.44,21.39
Harry Zimmermann,2,109,69,9.48,54.5
Harsh Dubey,8,204,155,7.9,25.5
Harsh Singh,3,107,67,9.58,35.67
Harsh Thaker,41,773,764,6.07,18.85
Harsh Tyagi,3,135,98,8.27,45.0
Harsh Venkataram,20,327,282,6.96,16.35
Harsha Bharadwaj,19,234,278,5.05,12.32
Harsha Deshan,9,154,128,7.22,17.11
Harsha Madhushanka,0,36,18,12.0,
Harsha Rajapaksha,6,226,186,7.29,37.67
Harsha Vithana,1,0,6,0.0,0.0
Harshajith Rushan,1,43,31,8.32,43.0
Harshal Patel,189,4008,2859,8.41,21.21
Harshana Wickramasinghe,2,30,25,7.2,15.0
Harsheed Chohan,28,406,434,5.61,14.5
Harshit Kaushik,2,128,91,8.44,64.0
Harshit Rana,51,1278,839,9.14,25.06
Harshit Rathod,1,24,25,5.76,24.0
Harshvardhan Mandhyan,26,500,435,6.9,19.23
Hasan Ali,321,6137,4630,7.95,19.12
Hasan Cakir,1,5,7,4.29,5.0
Hasan Mahmood,0,41,24,10.25,
Hasan Mahmud,104,2563,1997,7.7,24.64
Hasan Murad,35,706,606,6.99,20.17
Hasan Nawaz,0,11,6,11.0,
Hasantha Fernando,9,366,245,8.96,40.67
Haseeb Amjad,27,416,353,7.07,15.41
Haseebullah,16,263,216,7.31,16.44
Hashan Dumindu,0,29,19,9.16,
Hashan Hewanayake,0,16,12,8.0,
Hashan Sandeepa,0,8,5,9.6,
Hashan Vimarshana,18,440,327,8.07,24.44
Hashen Ramanayake,16,326,243,8.05,20.38
Hashin Dilman,1,8,6,8.0,8.0
Hashir Hussain,0,10,6,10.0,
Hashmatullah Shahidi,2,46,31,8.9,23.0
Hasitha Boyagoda,1,21,19,6.63,21.0
Hasitha Nirmal,8,212,192,6.62,26.5
Hasitha Wickramasinghe,1,153,85,10.8,153.0
Hassan Khan,58,1798,1359,7.94,31.0
Hassan Khan Mohammad,3,73,49,8.94,24.33
Hassan Mahmood,11,115,102,6.76,10.45
Hassnain Shah,6,121,88,8.25,20.17
Hayatullah,2,62,60,6.2,31.0
Hayatullah Niazi,2,62,54,6.89,31.0
Hayden Dickson,6,137,151,5.44,22.83
Hayden Kerr,72,1799,1293,8.35,24.99
Hayden Walsh,83,1990,1567,7.62,23.98
Hazrat Luqman,1,60,38,9.47,60.0
Hazratullah Zazai,1,19,12,9.5,19.0
Heath Richards,1,40,22,10.91,40.0
Hein Zin Aung,0,13,6,13.0,
Heinrich Klaasen,1,68,42,9.71,68.0
Heinrigh Pieterse,3,34,43,4.74,11.33
Hekmatullah Khogiyani,7,199,178,6.71,28.43
Hemang Patel,4,74,65,6.83,18.5
Hemant Dhami,0,44,20,13.2,
Hemant Kumar,0,45,22,12.27,
Hendrichs Macheke,10,118,84,8.43,11.8
Henry Beresford-Peirse,2,94,59,9.56,47.0
Henry Brookes,65,1739,1150,9.07,26.75
Henry Cooper,3,55,48,6.88,18.33
Henry Crocombe,29,707,454,9.34,24.38
Henry Davids,6,191,143,8.01,31.83
Henry Shipley,42,885,670,7.93,21.07
Henry Ssenyondo,108,1556,1774,5.26,14.41
Henry Thornton,50,999,721,8.31,19.98
Henry Tyler,23,516,372,8.32,22.43
Heramb Parab,0,37,24,9.25,
Hernan Fennell,43,481,488,5.91,11.19
Hershell America,10,108,99,6.55,10.8
Heshan Dhanushka,2,27,27,6.0,13.5
Heshan Hettiarchchi,23,430,352,7.33,18.7
Heshan Madhushanka,3,41,62,3.97,13.67
Heshan Wanniarchchi,1,20,14,8.57,20.0
Hidde Overdijk,3,79,59,8.03,26.33
Hillroy Paulse,0,26,12,13.0,
Hilton Cartwright,2,119,58,12.31,59.5
Himanshu Bisht,4,8,19,2.53,2.0
Himanshu Chauhan,1,37,24,9.25,37.0
Himanshu Rathod,38,488,467,6.27,12.84
Himanshu Sharma,0,57,30,11.4,
Himesh Ramanayake,40,603,509,7.11,15.08
Hiral Patel,1,106,91,6.99,106.0
Hirani Harji,6,178,143,7.47,29.67
Hirantha Jayasinghe,1,23,13,10.62,23.0
Hiri Hiri,5,25,42,3.57,5.0
Hisham Shaikh,34,599,566,6.35,17.62
Hisham Sheikh,4,208,148,8.43,52.0
Hitesh Walunj,0,40,24,10.0,
Hokaito Zhimomi,0,27,12,13.5,
Honey Gori,3,44,39,6.77,14.67
Hossain Ali,12,199,150,7.96,16.58
Hristo Ivanov,0,11,13,5.08,
Hristo Lakov,34,923,745,7.43,27.15
Hrithik Shokeen,8,336,232,8.69,42.0
Htet Lin Aung,15,259,258,6.02,17.27
Htet Lin Oo,10,161,139,6.95,16.1
Hughes-Pinan,8,108,167,3.88,13.5
Hugo Elder,1,32,36,5.33,32.0
Hunain Shah,9,260,171,9.12,28.89
Hussain Talat,55,1453,997,8.74,26.42
Huzaif Yousuf,3,108,70,9.26,36.0
Huzaifa Mohammed,26,531,536,5.94,20.42
Hyeon Parsons,1,38,19,12.0,38.0
Iain Latin,12,267,172,9.31,22.25
Ian Holland,34,693,617,6.74,20.38
Ian McPeake,9,379,243,9.36,42.11
Ian Moran,1,19,7,16.29,19.0
Ian Roberts,0,7,12,3.5,
Ibrahim,17,369,312,7.1,21.71
Ibrahim Hassan,35,954,771,7.42,27.26
Ibrahim Jabarkhel,5,120,110,6.55,24.0
Ibrahim Kamara,8,79,91,5.21,9.88
Ibrahim Kursad Dalyan,1,64,51,7.53,64.0
Ibrahim Masood,3,33,36,5.5,11.0
Ibrahim Nashath,7,167,153,6.55,23.86
Ibrahim Rahimi,1,35,22,9.55,35.0
Ibrahim Rizan,31,694,604,6.89,22.39
Ibrahim Sultanzada,0,20,7,17.14,
Ibrahim Takahashi,37,655,670,5.87,17.7
Ibrahim Zadran,8,266,187,8.53,33.25
Ibrar Ahmad,10,261,167,9.38,26.1
Ibtisam Sheikh,10,178,145,7.37,17.8
Idriss Tchakou,5,65,56,6.96,13.0
Ifeanyichukwu Uboh,4,112,80,8.4,28.0
Ifran Hossain,15,297,236,7.55,19.8
Iftakhar Hossain Ifti,6,33,24,8.25,5.5
Iftekar Jaman,0,15,7,12.86,
Iftekhar Sajjad,3,150,123,7.32,50.0
Iftikhar Ahmed,66,1834,1460,7.54,27.79
Iftikhar Kankhel,14,278,199,8.38,19.86
Ignace  Ntirenganya,46,942,933,6.06,20.48
Ihala Kumara,0,13,12,6.5,
Ihsanullah,32,524,461,6.82,16.38
Ihsanullah Wafa,2,39,32,7.31,19.5
Ijaz Ahmad Ahmadzai,0,24,12,12.0,
Ijaz Hussain,37,548,496,6.63,14.81
Ikbal Hossain,3,53,64,4.97,17.67
Ikramullah Khan,36,848,623,8.17,23.56
Ili Tugaga,1,44,47,5.62,44.0
Ilias Bardis,1,12,8,9.0,12.0
Ilyas Ahmed,17,386,324,7.15,22.71
Ilyas Ataullah,10,285,205,8.34,28.5
Ilyas Cetin,2,58,27,12.89,29.0
Imad Wasim,357,8191,7521,6.53,22.94
Imal Zuwak,0,5,6,5.0,
Imesh Udayanga,9,232,184,7.57,25.78
Imliwati Lemtur,4,123,109,6.77,30.75
Imran Ahmed Kaneez,7,73,101,4.34,10.43
Imran Ali,9,342,244,8.41,38.0
Imran Ameer,16,460,420,6.57,28.75
Imran Anwar,91,1852,1581,7.03,20.35
Imran Arif,7,84,94,5.36,12.0
Imran Ashraf,0,35,12,17.5,
Imran Asif,7,83,73,6.82,11.86
Imran Butt,3,72,49,8.82,24.0
Imran Haider,9,268,206,7.81,29.78
Imran Khalid,25,688,558,7.4,27.52
Imran Khan,201,4054,3416,7.12,20.17
Imran Manack,32,906,869,6.26,28.31
Imran Mohammadi,2,93,65,8.58,46.5
Imran Qayyum,42,1125,841,8.03,26.79
Imran Tahir,459,8568,7359,6.99,18.67
Imran Yousaf,10,157,145,6.5,15.7
Imranullah Aslam,0,57,38,9.0,
Imthiyas Slaza,4,65,63,6.19,16.25
Imtiaz Khan,6,120,88,8.18,20.0
Inam-ul-Haq,2,82,60,8.2,41.0
Innocent Kaia,0,84,41,12.29,
Innocent Mwebaze,1,32,36,5.33,32.0
Inshaka Siriwardena,29,319,319,6.0,11.0
Inuka Karannagoda,3,40,48,5.0,13.33
Inzimamul Master,2,56,33,10.18,28.0
Iqbal Abdulla,13,418,310,8.09,32.15
Iqbal Hosen,1,37,34,6.53,37.0
Iqbal Hossain,4,42,43,5.86,10.5
Iqbal Hossain Emon,2,37,21,10.57,18.5
Iqbal Hussain,31,302,282,6.43,9.74
Iqbal Mudassir,1,107,74,8.68,107.0
Iresh Chamara,0,9,9,6.0,
Irfan Ahmed,11,183,155,7.08,16.64
Irfan Hafejee,20,269,285,5.66,13.45
Irfan Khan,2,4,6,4.0,2.0
Irfan Pathan,5,184,128,8.62,36.8
