over,total_runs,balls,rpo
1,117638,116608,6.05
2,137136,116036,7.09
3,148047,114828,7.74
4,151375,114564,7.93
5,151149,114245,7.94
6,149324,113465,7.9
7,123824,112163,6.62
8,127850,111734,6.87
9,132444,111120,7.15
10,131494,110510,7.14
11,133977,109773,7.32
12,134599,108410,7.45
13,135740,107593,7.57
14,136052,105923,7.71
15,138645,104410,7.97
16,138681,101604,8.19
17,141365,98790,8.59
18,139817,94044,8.92
19,134510,86695,9.31
20,122234,73698,9.95
21,4,1,24.0
