bowl,wickets,runs,balls,econ,avg
Alex Cusack,70,1491,1958,4.57,21.3
Trent Johnston,70,1881,2756,4.1,26.87
Sanath Jayasuriya,69,2180,2715,4.82,31.59
Lockie Ferguson,69,1719,2004,5.15,24.91
Mujeeb Ur Rahman,67,1408,2195,3.85,21.01
Andile Phehlukwayo,67,1936,2170,5.35,28.9
Ian Bradshaw,67,1777,2464,4.33,26.52
Safyaan Sharif,67,1748,2170,4.83,26.09
Sikandar Raza,67,2378,3054,4.67,35.49
Shoaib Akhtar,66,1940,2358,4.94,29.39
Shaun Tait,66,1462,1834,4.78,22.15
Amit Mishra,66,1444,1866,4.64,21.88
Hamid Hassan,66,1572,1974,4.78,23.82
Doug Bollinger,65,1482,2015,4.41,22.8
Nuwan Pradeep,64,1999,2051,5.85,31.23
Xavier Doherty,64,2224,2820,4.73,34.75
Mark Wood,64,2385,2658,5.38,37.27
James Tredwell,64,1666,2110,4.74,26.03
Nehemiah Odhiambo,63,2027,2253,5.4,32.17
Gulbadin Naib,63,1967,2262,5.22,31.22
Andrew Symonds,63,2173,2560,5.09,34.49
Thomas Odoyo,63,1462,2061,4.26,23.21
Marlon Samuels,63,2893,3654,4.75,45.92
Shadab Khan,62,1750,2104,4.99,28.23
James Neesham,61,1814,1874,5.81,29.74
Corey Anderson,61,1502,1550,5.81,24.62
Syed Rasel,60,1889,2436,4.65,31.48
Sachithra Senanayake,60,1874,2385,4.71,31.23
Kyle Jarvis,58,2040,2372,5.16,35.17
Stuart Clark,57,1483,1884,4.72,26.02
Nathan Hauritz,57,1844,2402,4.61,32.35
David Willey,56,1889,2028,5.59,33.73
Hardik Pandya,56,2219,2488,5.35,39.62
Tinashe Panyangara,56,2342,2594,5.42,41.82
Kieron Pollard,55,2025,2187,5.56,36.82
Mohammad Naveed,55,1755,1980,5.32,31.91
Majid Haq,55,1593,2193,4.36,28.96
James Franklin,54,2226,2629,5.08,41.22
Scott Styris,53,2060,2620,4.72,38.87
Chris Morris,53,1756,1963,5.37,33.13
John Mooney,53,1524,1750,5.23,28.75
Glenn Maxwell,53,2637,2840,5.57,49.75
Albie Morkel,53,1792,2009,5.35,33.81
Mohammad Rafique,53,1689,2424,4.18,31.87
Thilan Thushara,52,1375,1690,4.88,26.44
Akila Dananjaya,52,1506,1805,5.01,28.96
Nathan Coulter-Nile,52,1555,1720,5.42,29.9
Dwayne Smith,52,2013,2457,4.92,38.71
Mudassar Bukhari,51,1407,1801,4.69,27.59
Barry McCarthy,51,1322,1409,5.63,25.92
Fidel Edwards,51,1672,2050,4.89,32.78
Mohammad Asif,50,1525,2002,4.57,30.5
Jeetan Patel,50,1667,2006,4.99,33.34
Carlos Brathwaite,50,1766,1873,5.66,35.32
Mirwais Ashraf,50,1352,2035,3.99,27.04
Virender Sehwag,50,1791,2091,5.14,35.82
Hiren Varaiya,50,1633,2209,4.44,32.66
Taskin Ahmed,49,1401,1463,5.75,28.59
Ashley Nurse,49,2123,2417,5.27,43.33
