year,bat,runs,balls,sr
2020,Jason Roy,102,117,87.18
2020,Jatinder Singh,114,205,55.61
2020,Joe Denly,153,182,84.07
2020,Joe Root,106,158,67.09
2020,Jonny Bairstow,346,343,100.87
2020,KL Rahul,443,417,106.24
2020,Kane Williamson,41,57,71.93
2020,Karl Birkenstock,52,72,72.22
2020,Kevin O'Brien,102,117,87.18
2020,Khawar Ali,117,186,62.9
2020,Kieron Pollard,98,90,108.89
2020,Kusal Mendis,194,192,101.04
2020,Kusal Perera,86,106,81.13
2020,Kushal Malla,78,75,104.0
2020,Kyle Verreynne,101,120,84.17
2020,Litton Das,311,262,118.7
2020,Lorcan Tucker,69,125,55.2
2020,Mahmudullah,76,89,85.39
2020,Manish Pandey,52,56,92.86
2020,Marcus Stoinis,56,56,100.0
2020,Mark Adair,45,69,65.22
2020,Marnus Labuschagne,473,519,91.14
2020,Martin Guptill,217,239,90.79
2020,Mayank Agarwal,86,83,103.61
2020,Mitchell Marsh,187,253,73.91
2020,Mitchell Starc,53,51,103.92
2020,Mohammad Mithun,82,59,138.98
2020,Mohammad Nadeem,172,252,68.25
2020,Mohammad Rizwan,25,60,41.67
2020,Muhammad Usman,105,146,71.92
2020,Mushfiqur Rahim,74,76,97.37
2020,Navdeep Saini,92,100,92.0
2020,Nicholas Pooran,204,214,95.33
2020,Paras Khadka,80,112,71.43
2020,Pat Cummins,51,59,86.44
2020,Paul Stirling,239,275,86.91
2020,Prithvi Shaw,84,82,102.44
2020,Quinton de Kock,228,260,87.69
2020,Rassie van der Dussen,43,53,81.13
2020,Ravindra Jadeja,223,226,98.67
2020,Reeza Hendricks,52,74,70.27
2020,Regis Chakabva,47,68,69.12
2020,Rohan Mustafa,83,106,78.3
2020,Rohit Sharma,171,187,91.44
2020,Ross Taylor,198,182,108.79
2020,Roston Chase,82,104,78.85
2020,Rusty Theron,31,65,47.69
2020,Sam Billings,315,329,95.74
2020,Sandeep Goud,80,98,81.63
2020,Sean Williams,241,279,86.38
